#HDNum,CommonName,RA,Dec,Mag,ColorIndex
358,Alpheratz,0.13976888,+29.09082805,2.07,-0.038
432,Caph,0.15280269,+59.15021814,2.28,0.380
496,,0.15681663,-45.74698836,3.88,1.013
886,Algenib,0.22059721,+15.18361593,2.83,-0.190
1522,,0.32380084,-08.82382948,3.56,1.214
2151,,0.42755612,-77.25503511,2.82,0.618
2262,,0.43669894,-43.67990933,3.93,0.175
2261,Ankaa,0.43801871,-42.30512197,2.40,1.083
216956,Fomalhaut,22.96078488,-29.62183701,1.17,0.145
217675,,23.03201291,+42.32597866,3.62,-0.099
217906,Scheat,23.06287038,+28.08245462,2.44,1.655
218045,Markab,23.07933801,+15.20536786,2.49,-0.002
218594,,23.15743391,-21.17248555,3.68,1.202
218670,,23.17261887,-45.24664747,3.88,0.998
219615,,23.28597045,+03.28224524,3.70,0.916
219571,,23.29050334,-58.23592762,3.99,0.410
220321,,23.38286152,-20.10034505,3.96,1.082
222107,,23.62602991,+46.45917621,3.81,0.984
222404,,23.65582834,+77.63196681,3.21,1.031
